complaint_text,complaint_type,location,priority
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport service is bad,Transport,Campus (General),High
general complaint about transport,General,Campus (General),Medium
hostel d is too small,Hostel,Hostel D,Low
wifi signal is weak in hostel b,IT / Network,Hostel B,Medium
water supply is low in hostel c,Water Supply,Hostel C,High
it issue in sports ground,IT / Network,Sports Ground,Medium
library is too big,Library,Library,Low
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too hot,Hostel,Hostel A,Medium
wifi issue in auditorium,IT / Network,Auditorium,Medium
water leak in hostel b,Water Supply,Hostel B,High
it problem in hostel d,IT / Network,Hostel D,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library books are nt available,Library,Library,Medium
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport service is good,Transport,Campus (General),Medium
general complaint about library,General,Library,Medium
hostel c is too dirty,Hostel,Hostel C,Low
wifi signal is strong in hostel a,IT / Network,Hostel A,Medium
water supply is good in hostel d,Water Supply,Hostel D,Low
it issue in main building,IT / Network,Main Building,High
library is too quiet,Library,Library,Medium
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b is too noisy,Hostel,Hostel B,Medium
main building ac is working,Civil / Infrastructure,Main Building,Low
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport bus is always late,Transport,Campus (General),High
prof is nt responsive,General,Main Building,Medium
hostel a is too crowded,Hostel,Hostel A,Low
wifi is slow in hostel d,IT / Network,Hostel D,Medium
water supply issue in hostel c,Water Supply,Hostel C,High
it problem in library,IT / Network,Library,Medium
sports ground is dirty,Civil / Infrastructure,Sports Ground,Low
library books are available,Library,Library,Medium
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport service is bad,Transport,Campus (General),High
general complaint about hostel,General,Hostel B,Medium
hostel d is too far from main building,Hostel,Hostel D,Low
wifi signal is weak in hostel c,IT / Network,Hostel C,Medium
water supply is low in hostel b,Water Supply,Hostel B,High
it issue in auditorium,IT / Network,Auditorium,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library is too big,Library,Library,Medium
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too dirty,Hostel,Hostel A,Medium
wifi issue in hostel b,IT / Network,Hostel B,Medium
water leak in hostel d,Water Supply,Hostel D,High
it problem in sports ground,IT / Network,Sports Ground,Medium
library books are nt available,Library,Library,Medium
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport service is good,Transport,Campus (General),Medium
general complaint about transport,General,Campus (General),Medium
hostel c is too noisy,Hostel,Hostel C,Low
wifi signal is strong in hostel d,IT / Network,Hostel D,Medium
water supply is good in hostel a,Water Supply,Hostel A,Low
it issue in main building,IT / Network,Main Building,High
library is too quiet,Library,Library,Medium
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b is too crowded,Hostel,Hostel B,Medium
main building lift is working,Civil / Infrastructure,Main Building,Low
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus is always on time,Transport,Campus (General),Medium
prof is nt responsive,General,Main Building,Low
hostel a is too hot,Hostel,Hostel A,Medium
wifi is slow in hostel c,IT / Network,Hostel C,Medium
water supply issue in hostel b,Water Supply,Hostel B,High
it problem in library,IT / Network,Library,Medium
sports ground is dirty,Civil / Infrastructure,Sports Ground,Low
library books are available,Library,Library,Medium
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport service is bad,Transport,Campus (General),High
general complaint about library,General,Library,Medium
hostel d is too small,Hostel,Hostel D,Low
wifi signal is weak in hostel b,IT / Network,Hostel B,Medium
water supply is low in hostel c,Water Supply,Hostel C,High
it issue in sports ground,IT / Network,Sports Ground,Medium
library is too big,Library,Library,Medium
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too dirty,Hostel,Hostel A,Medium
wifi issue in auditorium,IT / Network,Auditorium,Medium
water leak in hostel b,Water Supply,Hostel B,High
it problem in hostel d,IT / Network,Hostel D,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library books are nt available,Library,Library,Medium
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport service is good,Transport,Campus (General),Medium
general complaint about hostel,General,Hostel B,Medium
hostel c is too noisy,Hostel,Hostel C,Low
wifi signal is strong in hostel a,IT / Network,Hostel A,Medium
water supply is good in hostel d,Water Supply,Hostel D,Low
it issue in main building,IT / Network,Main Building,High
library is too quiet,Library,Library,Medium
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b is too crowded,Hostel,Hostel B,Medium
main building ac is working,Civil / Infrastructure,Main Building,Low
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport bus is always late,Transport,Campus (General),High
prof is nt responsive,General,Main Building,Medium
hostel a is too crowded,Hostel,Hostel A,Low
wifi is slow in hostel d,IT / Network,Hostel D,Medium
water supply issue in hostel c,Water Supply,Hostel C,High
it problem in library,IT / Network,Library,Medium
sports ground is dirty,Civil / Infrastructure,Sports Ground,Low
library books are available,Library,Library,Medium
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport service is bad,Transport,Campus (General),High
general complaint about transport,General,Campus (General),Medium
hostel d is too far from lab,Hostel,Hostel D,Low
wifi signal is weak in hostel c,IT / Network,Hostel C,Medium
water supply is low in hostel b,Water Supply,Hostel B,High
it issue in auditorium,IT / Network,Auditorium,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library is too big,Library,Library,Medium
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too dirty,Hostel,Hostel A,Medium
wifi issue in hostel b,IT / Network,Hostel B,Medium
water leak in hostel d,Water Supply,Hostel D,High
it problem in sports ground,IT / Network,Sports Ground,Medium
library books are nt available,Library,Library,Medium
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport service is good,Transport,Campus (General),Medium
general complaint about library,General,Library,Medium
hostel c is too noisy,Hostel,Hostel C,Low
wifi signal is strong in hostel d,IT / Network,Hostel D,Medium
water supply is good in hostel a,Water Supply,Hostel A,Low
it issue in main building,IT / Network,Main Building,High
library is too quiet,Library,Library,Medium
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b is too crowded,Hostel,Hostel B,Medium
main building lift is working,Civil / Infrastructure,Main Building,Low
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus is always on time,Transport,Campus (General),Medium
prof is nt responsive,General,Main Building,Low
hostel a is too hot,Hostel,Hostel A,Medium
wifi is slow in hostel c,IT / Network,Hostel C,Medium
water supply issue in hostel b,Water Supply,Hostel B,High
it problem in library,IT / Network,Library,Medium
sports ground is dirty,Civil / Infrastructure,Sports Ground,Low
library books are available,Library,Library,Medium
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport service is bad,Transport,Campus (General),High
general complaint about hostel,General,Hostel B,Medium
hostel d is too small,Hostel,Hostel D,Low
wifi signal is weak in hostel b,IT / Network,Hostel B,Medium
water supply is low in hostel c,Water Supply,Hostel C,High
it issue in sports ground,IT / Network,Sports Ground,Medium
library is too big,Library,Library,Medium
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too dirty,Hostel,Hostel A,Medium
wifi issue in auditorium,IT / Network,Auditorium,Medium
water leak in hostel b,Water Supply,Hostel B,High
it problem in hostel d,IT / Network,Hostel D,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library books are nt available,Library,Library,Medium
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport service is good,Transport,Campus (General),Medium
general complaint about hostel,General,Hostel B,Medium
hostel c is too noisy,Hostel,Hostel C,Low
wifi signal is strong in hostel a,IT / Network,Hostel A,Medium
water supply is good in hostel d,Water Supply,Hostel D,Low
it issue in main building,IT / Network,Main Building,High
library is too quiet,Library,Library,Medium
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b is too crowded,Hostel,Hostel B,Medium
main building ac is working,Civil / Infrastructure,Main Building,Low
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport bus is always late,Transport,Campus (General),High
prof is nt responsive,General,Main Building,Medium
hostel a is too crowded,Hostel,Hostel A,Low
wifi is slow in hostel d,IT / Network,Hostel D,Medium
water supply issue in hostel c,Water Supply,Hostel C,High
it problem in library,IT / Network,Library,Medium
sports ground is dirty,Civil / Infrastructure,Sports Ground,Low
library books are available,Library,Library,Medium
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport service is bad,Transport,Campus (General),High
general complaint about transport,General,Campus (General),Medium
hostel d is too far from main building,Hostel,Hostel D,Low
wifi signal is weak in hostel c,IT / Network,Hostel C,Medium
water supply is low in hostel b,Water Supply,Hostel B,High
it issue in auditorium,IT / Network,Auditorium,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library is too big,Library,Library,Medium
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too dirty,Hostel,Hostel A,Medium
wifi issue in hostel b,IT / Network,Hostel B,Medium
water leak in hostel d,Water Supply,Hostel D,High
it problem in sports ground,IT / Network,Sports Ground,Medium
library books are nt available,Library,Library,Medium
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport service is good,Transport,Campus (General),Medium
general complaint about library,General,Library,Medium
hostel c is too noisy,Hostel,Hostel C,Low
wifi signal is strong in hostel d,IT / Network,Hostel D,Medium
"The wifi in hostel a is really slow, cant even watch yt vids, pls fix",High,Hostel A,Medium
"there's no water in hostel b, wtf",Low,Hostel C,High
"the food in mess is so bad 🤢, its like they dont care",Medium,Mess / Canteen,Medium
"my prof is being super annoying, wont give me attendance",General,Main Building,Low
"the lab equipment is so outdated, cant even do proper experiments",IT / Network,Laboratory,High
"the library is too quiet, cant even talk to my friends 🤫",Low,Library,Low
"the sports ground is in a bad condition, cant even play properly",High,Sports Ground,Medium
"the auditorium ac is not working, its so hot",Medium,Auditorium,Medium
"the campus is so dirty, pls clean it up",General,Campus (General),Low
"the hostel a bathroom is so dirty, its like they dont clean it",High,Hostel A,Medium
"i lost my phone in the library, can someone pls return it",Low,Library,Low
"the it lab is not working properly, cant even code",IT / Network,Laboratory,High
"the water supply in hostel c is not working, pls fix",High,Hostel D,Medium
"the mess food is so spicy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel b is so slow, cant even walk properly",Medium,Hostel C,Medium
"the transport bus is always late, cant even reach college on time",Medium,Main Building,Low
"the library books are so outdated, cant even find proper information",Low,Library,Low
"the hostel d bathroom is so small, cant even breathe",Medium,Hostel D,Medium
"the it network is so slow, cant even submit assignments",High,Main Building,Medium
"the sports equipment is so bad, cant even play properly",Medium,Sports Ground,Low
"the auditorium seats are so uncomfortable, cant even sit",Low,Auditorium,Low
"the campus parking is so bad, cant even park my bike",General,Campus (General),Low
"the hostel a room is so hot, cant even sleep",High,Hostel A,Medium
"the library wifi is not working, cant even study",Low,Library,Low
"the lab experiments are so boring, cant even learn",Medium,Laboratory,Low
"the mess staff is so rude, cant even talk to them",Medium,Mess / Canteen,Low
"the civil work in hostel a is so noisy, cant even sleep",High,Hostel A,Medium
"the transport bus is so crowded, cant even sit",Medium,Main Building,Low
"the library is so cold, cant even sit",Low,Library,Low
"the hostel b bathroom is so dirty, cant even use it",High,Hostel C,Medium
"the it lab is not open on weekends, cant even work on projects",IT / Network,Laboratory,Medium
"the water supply in hostel d is not working, pls fix",High,Hostel D,Medium
"the mess food is so boring, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel c is so slow, cant even walk properly",Medium,Hostel C,Medium
"the sports ground is so far, cant even walk",Medium,Sports Ground,Low
"the auditorium is so big, cant even find my friends",Low,Auditorium,Low
"the campus is so beautiful, but the wifi is so bad",General,Campus (General),Low
"the hostel c room is so cold, cant even sleep",High,Hostel C,Medium
"the library books are so few, cant even find what i need",Low,Library,Low
"the it network is so unstable, cant even submit assignments",High,Main Building,Medium
"the transport bus is always breaking down, cant even reach college",Medium,Main Building,Medium
"the mess staff is so friendly, but the food is so bad",Medium,Mess / Canteen,Low
"the civil work in hostel b is so noisy, cant even study",High,Hostel C,Medium
"the sports equipment is so expensive, cant even buy",Medium,Sports Ground,Low
"the auditorium is so dark, cant even see",Low,Auditorium,Low
"the campus parking is so limited, cant even park my car",General,Campus (General),Low
"the hostel d bathroom is so dirty, cant even use it",High,Hostel D,Medium
"the it lab is not well equipped, cant even do experiments",IT / Network,Laboratory,Medium
"the water supply in hostel a is not working, pls fix",High,Hostel A,Medium
"the mess food is so unhealthy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel c is so slow, cant even walk properly",Medium,Hostel C,Medium
"the sports ground is so crowded, cant even play",Medium,Sports Ground,Low
"the auditorium is so hot, cant even sit",Low,Auditorium,Low
"the campus is so big, cant even find my way",General,Campus (General),Low
"the hostel b room is so small, cant even breathe",Medium,Hostel C,Medium
"the library wifi is so slow, cant even study",Low,Library,Low
"the lab experiments are so interesting, but the equipment is so bad",Medium,Laboratory,Low
"the mess staff is so helpful, but the food is so bad",Medium,Mess / Canteen,Low
"the civil work in hostel a is so noisy, cant even sleep",High,Hostel A,Medium
"the transport bus is always late, cant even reach college on time",Medium,Main Building,Low
"the library is so quiet, cant even talk to my friends",Low,Library,Low
"the hostel c bathroom is so dirty, cant even use it",High,Hostel C,Medium
"the it network is so slow, cant even submit assignments",High,Main Building,Medium
"the sports equipment is so bad, cant even play properly",Medium,Sports Ground,Low
"the auditorium seats are so uncomfortable, cant even sit",Low,Auditorium,Low
"the campus parking is so bad, cant even park my bike",General,Campus (General),Low
"the hostel a room is so hot, cant even sleep",High,Hostel A,Medium
"the library books are so outdated, cant even find proper information",Low,Library,Low
"the lab experiments are so boring, cant even learn",Medium,Laboratory,Low
"the mess food is so spicy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel b is so slow, cant even walk properly",Medium,Hostel C,Medium
"the transport bus is so crowded, cant even sit",Medium,Main Building,Low
"the library is so cold, cant even sit",Low,Library,Low
"the hostel d bathroom is so small, cant even breathe",Medium,Hostel D,Medium
"the it lab is not open on weekends, cant even work on projects",IT / Network,Laboratory,Medium
"the water supply in hostel c is not working, pls fix",High,Hostel C,Medium
"the mess staff is so rude, cant even talk to them",Medium,Mess / Canteen,Low
"the civil work in hostel a is so noisy, cant even sleep",High,Hostel A,Medium
"the sports ground is so far, cant even walk",Medium,Sports Ground,Low
"the auditorium is so big, cant even find my friends",Low,Auditorium,Low
"the campus is so beautiful, but the wifi is so bad",General,Campus (General),Low
"the hostel b room is so cold, cant even sleep",High,Hostel C,Medium
"the library books are so few, cant even find what i need",Low,Library,Low
"the it network is so unstable, cant even submit assignments",High,Main Building,Medium
"the transport bus is always breaking down, cant even reach college",Medium,Main Building,Medium
"the mess food is so boring, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel c is so slow, cant even walk properly",Medium,Hostel C,Medium
"the sports equipment is so expensive, cant even buy",Medium,Sports Ground,Low
"the auditorium is so dark, cant even see",Low,Auditorium,Low
"the campus parking is so limited, cant even park my car",General,Campus (General),Low
"the hostel c bathroom is so dirty, cant even use it",High,Hostel C,Medium
"the it lab is not well equipped, cant even do experiments",IT / Network,Laboratory,Medium
"the water supply in hostel b is not working, pls fix",High,Hostel C,Medium
"the mess food is so unhealthy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel a is so slow, cant even walk properly",Medium,Hostel A,Medium
"the sports ground is so crowded, cant even play",Medium,Sports Ground,Low
"the auditorium is so hot, cant even sit",Low,Auditorium,Low
"the campus is so big, cant even find my way",General,Campus (General),Low
"the hostel d room is so small, cant even breathe",Medium,Hostel D,Medium
"the library wifi is so slow, cant even study",Low,Library,Low
"the lab experiments are so interesting, but the equipment is so bad",Medium,Laboratory,Low
"the mess staff is so helpful, but the food is so bad",Medium,Mess / Canteen,Low
"the civil work in hostel b is so noisy, cant even sleep",High,Hostel C,Medium
"the transport bus is always late, cant even reach college on time",Medium,Main Building,Low
"the library is so quiet, cant even talk to my friends",Low,Library,Low
"the hostel a bathroom is so dirty, cant even use it",High,Hostel A,Medium
"the it network is so slow, cant even submit assignments",High,Main Building,Medium
"the sports equipment is so bad, cant even play properly",Medium,Sports Ground,Low
"the auditorium seats are so uncomfortable, cant even sit",Low,Auditorium,Low
"the campus parking is so bad, cant even park my bike",General,Campus (General),Low
"the hostel c room is so hot, cant even sleep",High,Hostel C,Medium
"the library books are so outdated, cant even find proper information",Low,Library,Low
"the lab experiments are so boring, cant even learn",Medium,Laboratory,Low
"the mess food is so spicy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel d is so slow, cant even walk properly",Medium,Hostel D,Medium
"the transport bus is so crowded, cant even sit",Medium,Main Building,Low
"the library is so cold, cant even sit",Low,Library,Low
"the hostel b bathroom is so small, cant even breathe",Medium,Hostel C,Medium
"the it lab is not open on weekends, cant even work on projects",IT / Network,Laboratory,Medium
"the water supply in hostel a is not working, pls fix",High,Hostel A,Medium
"the mess staff is so rude, cant even talk to them",Medium,Mess / Canteen,Low
"the civil work in hostel c is so noisy, cant even sleep",High,Hostel C,Medium
"the sports ground is so far, cant even walk",Medium,Sports Ground,Low
"the auditorium is so big, cant even find my friends",Low,Auditorium,Low
"the campus is so beautiful, but the wifi is so bad",General,Campus (General),Low
"the hostel d room is so cold, cant even sleep",High,Hostel D,Medium
"the library books are so few, cant even find what i need",Low,Library,Low
"the it network is so unstable, cant even submit assignments",High,Main Building,Medium
"the transport bus is always breaking down, cant even reach college",Medium,Main Building,Medium
"the mess food is so boring, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel b is so slow, cant even walk properly",Medium,Hostel C,Medium
"the sports equipment is so expensive, cant even buy",Medium,Sports Ground,Low
"the auditorium is so dark, cant even see",Low,Auditorium,Low
"the campus parking is so limited, cant even park my car",General,Campus (General),Low
"the hostel a bathroom is so dirty, cant even use it",High,Hostel A,Medium
"the it lab is not well equipped, cant even do experiments",IT / Network,Laboratory,Medium
"the water supply in hostel c is not working, pls fix",High,Hostel C,Medium
"the mess food is so unhealthy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel d is so slow, cant even walk properly",Medium,Hostel D,Medium
"the sports ground is so crowded, cant even play",Medium,Sports Ground,Low
"the auditorium is so hot, cant even sit",Low,Auditorium,Low
"the campus is so big, cant even find my way",General,Campus (General),Low
"the hostel b room is so small, cant even breathe",Medium,Hostel C,Medium
"the library wifi is so slow, cant even study",Low,Library,Low
"the lab experiments are so interesting, but the equipment is so bad",Medium,Laboratory,Low
"the mess staff is so helpful, but the food is so bad",Medium,Mess / Canteen,Low
"the civil work in hostel a is so noisy, cant even sleep",High,Hostel A,Medium
"the transport bus is always late, cant even reach college on time",Medium,Main Building,Low
"the library is so quiet, cant even talk to my friends",Low,Library,Low
"the hostel c bathroom is so dirty, cant even use it",High,Hostel C,Medium
"the it network is so slow, cant even submit assignments",High,Main Building,Medium
"the sports equipment is so bad, cant even play properly",Medium,Sports Ground,Low
"the auditorium seats are so uncomfortable, cant even sit",Low,Auditorium,Low
"the campus parking is so bad, cant even park my bike",General,Campus (General),Low
"the hostel d room is so hot, cant even sleep",High,Hostel D,Medium
"the library books are so outdated, cant even find proper information",Low,Library,Low
"the lab experiments are so boring, cant even learn",Medium,Laboratory,Low
"the mess food is so spicy, cant even eat",Medium,Mess / Canteen,Low
"the civil work in hostel b is so slow, cant even walk properly",Medium,Hostel C,Medium
"the transport bus is so crowded, cant even sit",Medium,Main Building,Low
"the library is so cold, cant even sit",Low,Library,Low
my wifi nt wrking in hostel a,Electricity,Hostel A,Medium
lab equipment broken pls fix,IT / Network,Laboratory,High
hostel c food is soo bad 🤢,Mess / Canteen,Hostel C,Low
prof nt givin us enuf time to finish assignments,General,Main Building,Medium
hostel b elevator nt wrking,Civil / Infrastructure,Hostel B,High
library books r always out of stock 📚,Library,Library,Low
transport bus always late 🚌,Transport,Campus (General),Medium
hostel d rooms r too hot in summer,Hostel,Hostel D,High
wifi signal weak in lab,IT / Network,Laboratory,Medium
canteen food is expensive 🤑,Mess / Canteen,Mess / Canteen,Low
auditorium sound system nt wrking,Civil / Infrastructure,Auditorium,High
main building toilet nt clean 🚽,Civil / Infrastructure,Main Building,Medium
hostel a room keys nt wrking,Hostel,Hostel A,Low
sports ground equipment nt in good condition,General,Sports Ground,Medium
library study area nt quiet 📖,Library,Library,Low
it prof nt helpful 🤔,IT / Network,Main Building,High
hostel c water supply nt regular,Water Supply,Hostel C,Medium
main building lift nt wrking,Civil / Infrastructure,Main Building,High
lab experiments r boring 🧬,General,Laboratory,Low
hostel b room allocation nt fair,Hostel,Hostel B,Medium
canteen staff nt friendly 🤪,Mess / Canteen,Mess / Canteen,Low
library books r always late 🕰️,Library,Library,Medium
transport bus driver nt helpful 🚌,Transport,Campus (General),High
hostel d washroom nt clean 🚿,Hostel,Hostel D,Medium
wifi signal strong in hostel a 📈,Electricity,Hostel A,Low
lab equipment nt available 🧬,IT / Network,Laboratory,High
hostel c food is okay i guess 🤔,Mess / Canteen,Hostel C,Medium
prof nt givin us enuf feedback 📝,General,Main Building,Low
hostel b room nt comfortable 🛋️,Hostel,Hostel B,Medium
library study area nt comfortable 🛋️,Library,Library,Low
auditorium seating nt comfortable 🛋️,Civil / Infrastructure,Auditorium,High
main building parking nt available 🅿️,Civil / Infrastructure,Main Building,Medium
sports ground nt well maintained 🏋️‍♀️,General,Sports Ground,Low
hostel a washroom nt clean 🚿,Hostel,Hostel A,Medium
it lab nt well equipped 🧮,IT / Network,Laboratory,High
canteen food nt tasty 🤢,Mess / Canteen,Mess / Canteen,Low
library books r nt up to date 📚,Library,Library,Medium
transport bus nt regular 🚌,Transport,Campus (General),High
hostel d room allocation nt fair,Hostel,Hostel D,Medium
lab experiments r interesting 🧬,General,Laboratory,Low
hostel b toilet nt clean 🚽,Hostel,Hostel B,Medium
library staff nt helpful 🤔,Library,Library,Low
main building security nt good 🚨,Civil / Infrastructure,Main Building,High
hostel c room keys nt wrking,Hostel,Hostel C,Medium
canteen staff nt helpful 🤪,Mess / Canteen,Mess / Canteen,Low
sports ground equipment nt available 🏋️‍♀️,General,Sports Ground,Medium
auditorium sound system nt loud 🎧,Civil / Infrastructure,Auditorium,High
hostel a food is good 🍴,Mess / Canteen,Hostel A,Low
it prof nt available 🤔,IT / Network,Main Building,Medium
lab equipment nt in good condition,IT / Network,Laboratory,High
library study area nt quiet at night 📖,Library,Library,Medium
hostel b room nt spacious 🛋️,Hostel,Hostel B,Low
main building lift nt wrking properly,Civil / Infrastructure,Main Building,High
canteen food nt healthy 🥗,Mess / Canteen,Mess / Canteen,Medium
transport bus driver nt friendly 🚌,Transport,Campus (General),Low
hostel d washroom nt well maintained 🚿,Hostel,Hostel D,Medium
wifi signal weak in hostel c,Electricity,Hostel C,Medium
lab experiments r nt interesting 🧬,General,Laboratory,Low
hostel a room allocation nt fair,Hostel,Hostel A,Medium
library books r always available 📚,Library,Library,Low
it lab nt well maintained 🧮,IT / Network,Laboratory,High
canteen staff nt friendly at night 🤪,Mess / Canteen,Mess / Canteen,Medium
sports ground nt well lit at night 🏋️‍♀️,General,Sports Ground,Low
auditorium seating nt comfortable for long hours 🛋️,Civil / Infrastructure,Auditorium,High
main building security nt good at night 🚨,Civil / Infrastructure,Main Building,Medium
hostel c room keys nt wrking properly,Hostel,Hostel C,Low
library study area nt available at night 📖,Library,Library,Medium
transport bus nt available at night 🚌,Transport,Campus (General),High
hostel d room nt comfortable for long hours 🛋️,Hostel,Hostel D,Medium
lab equipment nt available for all students 🧬,IT / Network,Laboratory,Low
canteen food nt available at night 🍴,Mess / Canteen,Mess / Canteen,Medium
wifi signal strong in lab 📈,Electricity,Laboratory,High
hostel b room allocation nt fair,Hostel,Hostel B,Medium
library books r nt enough 📚,Library,Library,Low
it prof nt helpful at night 🤔,IT / Network,Main Building,Medium
sports ground equipment nt in good condition 🏋️‍♀️,General,Sports Ground,High
auditorium sound system nt wrking properly 🎧,Civil / Infrastructure,Auditorium,Low
main building parking nt available for all 🅿️,Civil / Infrastructure,Main Building,Medium
hostel c washroom nt clean 🚿,Hostel,Hostel C,High
